
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-pluto-small-moons
> node site/test/dom-cleanliness-browser.mjs

PASS crimea DPR 2: 71313 nodes; retained interaction
PASS rusthawelia DPR 2: 71313 nodes; retained interaction
PASS schorria DPR 2: 71313 nodes; retained interaction
PASS silvretta DPR 2: 71313 nodes; retained interaction
PASS virtanen DPR 2: 71313 nodes; retained interaction
PASS mr-spock DPR 2: 71313 nodes; retained interaction
PASS educatio DPR 2: 71313 nodes; retained interaction
PASS hopi DPR 2: 71313 nodes; retained interaction
PASS schaber DPR 2: 71313 nodes; retained interaction
PASS iau DPR 2: 71313 nodes; retained interaction
PASS united-nations DPR 2: 71313 nodes; retained interaction
PASS tartaglia DPR 2: 71313 nodes; retained interaction
PASS raup DPR 2: 71313 nodes; retained interaction
PASS asteroid-2001-qw16 DPR 2: 71313 nodes; retained interaction
PASS asteroid-1999-fr33 DPR 2: 71313 nodes; retained interaction
PASS vesta DPR 2: 71333 nodes; retained interaction
PASS phobos DPR 2: 71857 nodes; retained interaction
PASS deimos DPR 2: 71857 nodes; retained interaction
PASS ceres DPR 2: 70965 nodes; retained interaction
PASS jupiter DPR 2: 71303 nodes; retained interaction
PASS io DPR 2: 70965 nodes; retained interaction
PASS europa DPR 2: 70965 nodes; retained interaction
PASS ganymede DPR 2: 70965 nodes; retained interaction
PASS callisto DPR 2: 70965 nodes; retained interaction
PASS saturn DPR 2: 71478 nodes; retained interaction
PASS pan DPR 2: 71313 nodes; retained interaction
PASS atlas DPR 2: 71313 nodes; retained interaction
PASS prometheus DPR 2: 71233 nodes; retained interaction
PASS pandora DPR 2: 71153 nodes; retained interaction
PASS janus DPR 2: 71233 nodes; retained interaction
PASS epimetheus DPR 2: 71233 nodes; retained interaction
PASS hyperion DPR 2: 71713 nodes; retained interaction
PASS mimas DPR 2: 71269 nodes; retained interaction
PASS enceladus DPR 2: 70965 nodes; retained interaction
PASS tethys DPR 2: 70965 nodes; retained interaction
PASS dione DPR 2: 70965 nodes; retained interaction
PASS rhea DPR 2: 70965 nodes; retained interaction
PASS titan DPR 2: 70965 nodes; retained interaction
PASS iapetus DPR 2: 70965 nodes; retained interaction
PASS phoebe DPR 2: 71857 nodes; retained interaction
PASS uranus DPR 2: 71578 nodes; retained interaction
PASS miranda DPR 2: 70965 nodes; retained interaction
PASS ariel DPR 2: 70965 nodes; retained interaction
PASS umbriel DPR 2: 70965 nodes; retained interaction
PASS titania DPR 2: 70965 nodes; retained interaction
PASS oberon DPR 2: 70965 nodes; retained interaction
PASS neptune DPR 2: 71240 nodes; retained interaction
PASS triton DPR 2: 70965 nodes; retained interaction
PASS pluto DPR 2: 70979 nodes; retained interaction
PASS charon DPR 2: 70965 nodes; retained interaction
PASS styx DPR 2: 71033 nodes; retained interaction
PASS nix DPR 2: 71313 nodes; retained interaction
PASS kerberos DPR 2: 71025 nodes; retained interaction
PASS hydra DPR 2: 71313 nodes; retained interaction
PASS haumea DPR 2: 71973 nodes; retained interaction
PASS makemake DPR 2: 70964 nodes; retained interaction
PASS eris DPR 2: 70964 nodes; retained interaction
NAVIGATION PASS DPR 2: six hops; retained universe and shell; no node or stylesheet growth
