Sk -69 80          78.5459976 -69.5435257 M00  B8:-;F2 Ia                     
LH39-20            78.5490036 -69.5549774 M00  A3 I                           
BAT99-24           78.5528717 -69.3239441 F03  WN4b                           Sk -69 81
LH39-21            78.5550842 -69.5567780 M00  B1 IIIe                        
BI 111             78.5707474 -69.3045273 C86  O9 II                          
LH39-22            78.5725403 -69.5592499 M00  A0 I                           
Sk -67 69          78.5836258 -67.1342239 W02  O4 III(f)                      
Sk -69 83          78.6234970 -69.4954376 F88  O7.5 Iaf                       
Sk -69 82          78.6315384 -69.2314987 F88  B8 Ia                          
[SP77]37-35        78.7072906 -67.4554977 M03  M3 Ia HV916                    
BI 110             78.7238770 -65.3105850 M95  B1 III                         
BAT99-25           78.7383000 -71.6055000 F03  WN4ha                          
MACHO6.5730.3092   78.9229202 -70.0774994 G05  B1 V + B2 V                    
RXJ0516.0-6916     79.0004196 -69.2691727 R05  B1 V, Be XRB                   
Sk -70 84          79.0568771 -70.5746384 J01  B0.5 I                         
S93                79.1324997 -68.3692551 Z06  B9[e] Ib                       
BAT99-26           79.1618347 -69.2780304 F03  WN4b                           Sk -69 86
BI 121             79.2161636 -69.1914749 M95  B1 V                           
Sk -70 85          79.2734604 -70.3230515 J01  B0 I                           
106201             79.2879562 -69.5391922 M03  M2 I                           
Sk -69 89          79.3230820 -69.7789230 F88  B2.5 Ia                        
Sk -71 16          79.4390869 -71.2444992 C86  O9 V                           
BI 127             79.4746246 -69.1400833 C86  O6.5 V SB:                     
R85                79.4841232 -69.2677231 M00  LBV (A Ie)                     
109106             79.4854584 -69.6737213 M03  M2 I                           
LH41-3             79.4997101 -69.2707291 M00  A2 I                           
MACHO78.6097.13    79.5195847 -69.8052826 G05  O9 V  + O9 V                   
LH41-48            79.5227509 -69.2059174 M00  B1 III                         
BI 130             79.5249557 -69.2429657 M95  O8.5 V((f))                    
LH41-44            79.5268326 -69.2100830 M00  B1 III                         
R86                79.5457535 -69.2187195 M00  B0.2 I                         
LH41-1011          79.5465012 -69.2174454 M00  B0.2 I                         
