planet,transit,bjd_tdb_minus_2450000,agol2021_bjd_tdb_minus_2450000,difference_days,uncertainty_days
1.0,2730.0,11382.229650454585,11382.240299747926,-0.010768350368380197,0.0005386777692171604
1.0,2731.0,11383.740477734993,11383.751173475302,-0.010809923413034994,0.0005370548769729017
1.0,2732.0,11385.251186292357,11385.262047202677,-0.010970528924190148,0.0005365421593549233
1.0,2733.0,11386.761802899218,11386.772920930052,-0.011230124426219845,0.0005431483207594665
1.0,2734.0,11388.272599520194,11388.28379465743,-0.011307883457448042,0.0005462275662147409
1.0,2735.0,11389.784051679177,11389.794668384804,-0.010736408532466157,0.0005380213799378623
1.0,2736.0,11391.294828167405,11391.305542112179,-0.010838137608516263,0.0005418634698616189
1.0,2737.0,11392.805468836359,11392.816415839556,-0.01107487166973442,0.0005489609827036441
1.0,2738.0,11394.31635182537,11394.32728956693,-0.011058305840379035,0.0005470113673579996
1.0,2739.0,11395.82718035304,11395.838163294306,-0.011098428024524765,0.0005453324700103328
1.0,2740.0,11397.337935626008,11397.349037021682,-0.011211839959287317,0.000543487511660847
1.0,2741.0,11398.848561384697,11398.859910749055,-0.011463142680440797,0.0005502186941768065
1.0,2742.0,11400.359350516617,11400.370784476432,-0.011549436073437391,0.0005539525938457564
1.0,2743.0,11401.870810956883,11401.881658203807,-0.010969585283419292,0.0005460865964307896
1.0,2744.0,11403.38159585666,11403.392531931182,-0.011061901162975118,0.0005492646899960883
1.0,2745.0,11404.89222894665,11404.903405658559,-0.011305736045869708,0.0005561224416679319
1.0,2746.0,11406.403055415443,11406.414279385934,-0.01134578615801729,0.0005552786862654421
1.0,2747.0,11407.913877772018,11407.925153113309,-0.01139171382146742,0.0005535638036225282
1.0,2748.0,11409.424684518635,11409.436026840685,-0.011453592191173811,0.0005504051148590399
1.0,2749.0,11410.935325132301,11410.946900568058,-0.011690879588059033,0.0005572452440651695
1.0,2750.0,11412.446104995934,11412.457774295435,-0.011787200946855592,0.0005615805444558803
1.0,2751.0,11413.957564540538,11413.96864802281,-0.0112078350784941,0.0005539853964144374
1.0,2752.0,11415.468360919127,11415.479521750185,-0.011287658156106772,0.0005564893422079421
1.0,2753.0,11416.978980725366,11416.990395477562,-0.011543979752786981,0.000563006300427068
1.0,2754.0,11418.489752087356,11418.501269204937,-0.011639627781732997,0.0005632825829799226
1.0,2755.0,11420.000572380592,11420.012142932312,-0.011687447113217786,0.0005616306279190399
1.0,2756.0,11421.511435984812,11421.523016659688,-0.011692457096614817,0.0005571988107938842
1.0,2757.0,11423.022093837586,11423.033890387063,-0.011913412924513977,0.0005641003049831753
1.0,2758.0,11424.532867748343,11424.544764114438,-0.012016472112918564,0.000569025204771119
1.0,2759.0,11426.044309427969,11426.055637841815,-0.011453822754447174,0.0005615807140875402
1.0,2760.0,11427.555112226735,11427.566511569188,-0.011526286206390068,0.0005634094935809937
1.0,2761.0,11429.065724256052,11429.077385296565,-0.01178969680222508,0.0005695780084439018
1.0,2762.0,11430.576446890675,11430.58825902394,-0.011934509187085496,0.0005709009704507171
1.0,2763.0,11432.087266098533,11432.099132751315,-0.011983467062236741,0.0005693782386247448
1.0,2764.0,11433.59819590625,11433.610006478692,-0.011922730487640365,0.0005638249650939561
1.0,2765.0,11435.108866316263,11435.120880206066,-0.012131659475926426,0.0005707027211669381
