source_row,time,x,y,energy_ev,pi,ccd_id,status
11375,255837470.01361775,2603.499267578125,5113.7607421875,3621.97119140625,249,7,0
11386,255837473.25461793,1861.9871826171875,4639.91357421875,4130.83447265625,283,7,0
11394,255837473.25461793,2572.179931640625,4388.3095703125,3358.9189453125,231,7,0
11400,255837473.33669794,3436.138427734375,3555.481201171875,1756.1724853515625,121,2,0
11403,255837473.4187779,4543.79931640625,3293.868408203125,978.354736328125,68,0,0
11405,255837473.4187779,4426.7822265625,3504.1875,5736.80908203125,393,0,0
11410,255837476.45460802,2091.211669921875,3665.124755859375,930.669189453125,64,6,0
11414,255837476.49564803,2258.196044921875,4662.92041015625,1764.702392578125,121,7,0
11421,255837476.49564803,2708.519287109375,4344.85498046875,642.3458251953125,44,7,0
11424,255837476.57772803,3386.001220703125,3595.7373046875,3812.419921875,262,2,0
11425,255837476.57772803,3614.941162109375,3692.07861328125,5980.1259765625,410,2,0
11427,255837476.61876804,5104.6865234375,4272.89697265625,4567.271484375,313,1,0
11432,255837479.73666814,2102.218505859375,5047.8115234375,5677.58203125,389,7,0
11446,255837479.77768824,3366.836181640625,4383.0625,6694.35791015625,459,3,0
11447,255837479.81872824,3026.11962890625,3331.654296875,1423.5386962890625,98,2,0
11448,255837479.81872824,3424.85888671875,3323.946533203125,1057.818603515625,73,2,0
11454,255837479.90080822,4346.20703125,3858.60888671875,2508.27294921875,172,0,0
11456,255837482.93661842,2011.2266845703125,4239.45751953125,1803.7686767578125,124,6,0
11461,255837482.97766832,2531.880615234375,4523.25634765625,4838.7978515625,332,7,0
11464,255837483.01869842,3480.009033203125,5323.04345703125,1959.28759765625,135,3,0
11465,255837483.01869842,4135.01513671875,4476.404296875,6019.43701171875,413,3,0
11466,255837483.05974832,3650.656005859375,3270.6357421875,2099.64501953125,144,2,0
11468,255837483.1418283,4059.502685546875,3217.5576171875,4659.57568359375,320,0,0
11469,255837483.1418283,4332.69580078125,3447.41552734375,932.4486694335938,64,0,0
11470,255837483.1418283,4352.49560546875,3502.927001953125,1106.74365234375,76,0,0
11475,255837486.2186785,2401.6826171875,4951.00439453125,6172.73828125,423,7,0
11484,255837486.2186785,3000.589111328125,5263.7685546875,6505.21435546875,446,7,0
11485,255837486.2186785,2803.751220703125,4492.07568359375,6647.5068359375,456,7,0
11489,255837486.2597185,4012.784912109375,4607.919921875,4252.9365234375,292,3,0
11490,255837486.3007585,3522.30029296875,3653.98828125,510.0572814941406,35,2,0
11491,255837486.3828385,4627.89599609375,3502.094970703125,2050.536865234375,141,0,0
11502,255837489.45969862,2255.6435546875,4761.74755859375,3671.350830078125,252,7,0
11503,255837489.45969862,2400.471923828125,5240.638671875,2448.890869140625,168,7,0
11512,255837489.45969862,2595.54443359375,4364.291015625,1082.6708984375,75,7,0
11515,255837489.45969862,2960.872802734375,5221.07666015625,5971.2724609375,409,7,0
11517,255837489.5007187,3681.935546875,4520.26953125,5091.66845703125,349,3,0
11519,255837489.6238387,4614.96533203125,3132.235107421875,3991.3544921875,274,0,0
11534,255837492.74174878,3718.563232421875,4546.216796875,6538.89404296875,448,3,0
11539,255837492.8238288,5300.16455078125,4564.98779296875,2134.422119140625,147,1,0
11541,255837492.86486876,5062.3876953125,3542.955322265625,6687.76416015625,459,0,0
11552,255837496.023789,2983.829345703125,3446.6181640625,3391.6328125,233,2,0
11556,255837496.064829,4501.5302734375,4562.1083984375,1152.5233154296875,79,1,0
11560,255837496.10586897,4316.1328125,3941.44140625,720.0406494140625,50,0,0
11567,255837499.18273908,2752.51806640625,5220.80859375,6623.33642578125,454,7,0
11573,255837499.22377908,3762.857666015625,4592.353515625,2109.60595703125,145,3,0
11574,255837499.2647992,3770.8369140625,3434.27783203125,604.5265502929688,42,2,0
11577,255837502.38269925,1751.1597900390625,3887.484619140625,2392.633056640625,164,6,0
11578,255837502.38269925,2012.3502197265625,3633.059814453125,6311.46337890625,433,6,0
11579,255837502.38269925,2307.7626953125,3699.441162109375,2789.502685546875,192,6,0
11580,255837502.42373925,2096.673828125,5355.38916015625,5079.68017578125,348,7,0
11585,255837502.42373925,2242.22802734375,4804.34423828125,6868.81103515625,471,7,0
11586,255837502.42373925,2169.89208984375,4493.43798828125,3319.1494140625,228,7,0
11587,255837502.42373925,2434.379638671875,5200.15869140625,1327.668701171875,91,7,0
11591,255837502.42373925,2621.938720703125,5312.6474609375,1389.3687744140625,96,7,0
11598,255837502.46477926,3560.75146484375,4999.12255859375,2363.31591796875,162,3,0
11601,255837502.46477926,3499.440673828125,4503.67919921875,1431.4603271484375,99,3,0
11602,255837502.46477926,3272.19140625,4385.16162109375,4752.90869140625,326,3,0
11604,255837502.54685926,4598.982421875,4339.70947265625,3484.642333984375,239,1,0
11607,255837502.58789924,4222.74169921875,3685.112060546875,1465.5306396484375,101,0,0
11611,255837505.62371936,2566.579345703125,3869.121826171875,1321.478515625,91,6,0
11613,255837505.66475937,1992.9459228515625,4761.54443359375,3438.064208984375,236,7,0
11616,255837505.66475937,2125.896484375,4703.04052734375,6967.54443359375,478,7,0
11623,255837505.66475937,2790.884033203125,4630.2060546875,6834.0224609375,469,7,0
11626,255837505.70579937,3698.115966796875,4917.95751953125,5926.68505859375,406,3,0
11628,255837505.70579937,4172.34033203125,4342.41748046875,1868.0355224609375,128,3,0
11630,255837505.82890946,4501.95361328125,3201.2421875,5864.47021484375,402,0,0
11636,255837508.90576956,2511.857177734375,4938.0029296875,1828.4022216796875,126,7,0
11646,255837508.98784956,3818.8291015625,3970.47021484375,5811.458984375,399,2,0
11660,255837512.18780974,3694.44482421875,4713.083984375,3945.230224609375,271,3,0
11662,255837512.22884974,3334.569091796875,4065.693115234375,805.7974243164062,56,2,0
11663,255837512.26990968,4630.044921875,4689.794921875,2256.41845703125,155,1,0
11666,255837512.26990968,5082.92724609375,4252.302734375,6966.71142578125,478,1,0
11667,255837512.31092972,4510.49072265625,2944.623291015625,3122.2392578125,214,0,0
