time,flux,error,mask,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9
60271.93280190,1.000859892,8.830520e-4,0,0,0,0,0,0,0,0,0,0
60271.93326255,1.000049086,8.830477e-4,0,0,0,0,0,0,0,0,0,0
60271.93372320,1.002559697,8.842756e-4,0,0,0,0,0,0,0,0,0,0
60271.93418384,1.000579991,8.826812e-4,0,0,0,0,0,0,0,0,0,0
60271.93464449,1.000949854,8.827335e-4,0,0,0,0,0,0,0,0,0,0
60271.93510514,1.000324281,8.824605e-4,0,0,0,0,0,0,0,0,0,0
60271.93556579,1.000773545,8.825920e-4,0,0,0,0,0,0,0,0,0,0
60271.93602643,1.000750098,8.826587e-4,0,0,0,0,0,0,0,0,0,0
60271.93648708,1.001088416,8.825798e-4,0,0,0,0,0,0,0,0,0,0
60271.93694773,1.001054963,8.828017e-4,0,0,0,0,0,0,0,0,0,0
60271.93740837,0.999545376,8.827120e-4,0,0,0,0,0,0,0,0,0,0
60271.93786902,1.000519151,8.825985e-4,0,0,0,0,0,0,0,0,0,0
60271.93832967,0.999396859,8.827659e-4,0,0,0,0,0,0,0,0,0,0
60271.93879031,1.001387352,8.827507e-4,0,0,0,0,0,0,0,0,0,0
60271.93925096,1.000041958,8.828526e-4,0,0,0,0,0,0,0,0,0,0
60271.93971161,1.000208848,8.829932e-4,0,0,0,0,0,0,0,0,0,0
60271.94017226,0.999699792,8.828794e-4,0,0,0,0,0,0,0,0,0,0
60271.94063290,1.000354033,8.828347e-4,0,0,0,0,0,0,0,0,0,0
60271.94109355,1.001256767,8.826530e-4,0,0,0,0,0,0,0,0,0,0
60271.94155420,1.001759411,8.829791e-4,0,0,0,0,0,0,0,0,0,0
60271.94201484,1.001644223,8.827593e-4,0,0,0,0,0,0,0,0,0,0
60271.94247549,1.001593932,8.829294e-4,0,0,0,0,0,0,0,0,0,0
60271.94293614,1.002216989,8.826269e-4,0,0,0,0,0,0,0,0,0,0
60271.94339679,1.000377260,8.827714e-4,0,0,0,0,0,0,0,0,0,0
60271.94385743,1.000341668,8.830224e-4,0,0,0,0,0,0,0,0,0,0
60271.94431808,1.002711386,8.826023e-4,0,0,0,0,0,0,0,0,0,0
60271.94477873,1.000860677,8.829171e-4,0,0,0,0,0,0,0,0,0,0
60271.94523937,1.002557930,8.824060e-4,0,0,0,0,0,0,0,0,0,0
60271.94570002,1.000590133,8.829543e-4,0,0,0,0,0,0,0,0,0,0
60271.94616067,0.999794818,8.830701e-4,0,0,0,0,0,0,0,0,0,0
60271.94662131,1.001199756,8.826294e-4,0,0,0,0,0,0,0,0,0,0
60271.94708196,1.001387607,8.830741e-4,0,0,0,0,0,0,0,0,0,0
60271.94754261,1.000910263,8.829639e-4,0,0,0,0,0,0,0,0,0,0
60271.94800326,1.000623286,8.828055e-4,0,0,0,0,0,0,0,0,0,0
